MaoriSpelling,EnglishSpelling,YearLevelFirstEncountered,EnglishDefinition,Category
tohora,whale,9,Large mammal that lives in the ocean (not to be confused with fish).,Animals
toroa,albatross,3,Large bird that lives near the sea.,Animals
tukutuku,spider web,5,Trap made by spiders,Animals
tuna,eel,9,Long slimy fish (can be good to eat).,Animals
hu,shoe,7,Covering that is worn on one's feet.,Clothing
kahu,cloak,5,Pending,Clothing
kakahu,garment,4,Pending,Clothing
miro,thread,2,Pending,clothing
piupiu,flax skirt,3,Pending,Clothing
poraka,jersey,7,Pending,Clothing
potae,hat,7,Pending,Clothing
tarau,trousers,7,Pending,clothing
tokena,socks,2,Pending,clothing
atua,god,4,Pending,Culture / Religion
haka,war dance,4,Pending,Culture / Religion
haki,flag,7,Pending,Culture / Religion
karakia,prayer,6,Pending,Culture / Religion
kehua,ghost,2,Pending,Culture / Religion
kete,basket,3,Pending,Culture / Religion
marae,marae,9,Pending,Culture / Religion
mauri,life spirit,2,Pending,Culture / Religion
pounamu,greenstone,5,Pending,Culture / Religion
wairua,spirit,2,Pending,Culture / Religion
haunga,smelly,2,Pending,Descriptive
kahurangi,blue,2,Pending,Descriptive
kakariki,green,10,Pending,Descriptive
kano,colour,8,Pending,Descriptive
karaka,orange,1,Pending,Descriptive
koi,sharp,8,Pending,Descriptive
kowhai,yellow,4,Pending,Descriptive
kura,red,1,Pending,Descriptive
ma,white,10,Pending,Descriptive
mahana,warm,10,Pending,Descriptive
mama,easy,1,Pending,Descriptive
mamae,sore,4,Pending,Descriptive
matao,cold,1,Pending,Descriptive
matekai,hungry,6,Pending,Descriptive
nuinga,majority,8,Pending,Descriptive
paku ,small,7,Pending,Descriptive
pakupaku,very small,6,Pending,Descriptive
pango,black,9,Pending,Descriptive
parauri,brown,10,Pending,Descriptive
poto,short,7,Pending,Descriptive
pukaha,engine,10,Pending,Descriptive
reka,sweet,6,Pending,Descriptive
toa,brave,9,Pending,Descriptive
aroha,love,8,Pending,Emotions
awangawanga,worried,10,Pending,Emotions
harikoa,happy,6,Pending,Emotions
kao,no!,10,Pending,Emotions
kino,bad,7,Pending,Emotions
koa,happy,5,Pending,Emotions
mataku,scared,8,Pending,Emotions
mokemoke,lonely,5,Pending,Emotions
roimata,tears,9,Pending,emotions
tangi,to cry,1,Pending,emotions
aihikirimi,ice cream,8,Pending,Food
aporo,apple,7,Pending,Food
hakari,feast,6,Pending,Food
hangi,oven,1,Pending,food
heki,egg,9,Pending,Food
hinu,oil,7,Pending,Food
hua,fruit,3,Pending,Food
huka,sugar,4,Pending,Food
inu,to drink,4,Pending,Food
kai,food,10,Pending,Food
kaimoana,seafood,5,Pending,food
kakano,seed,6,Pending,Food
kanga,corn,1,Pending,Food
kapu,cup,9,Pending,Food
kareti,carrot,9,Pending,food
keke,cake,10,Pending,Food
kohua,to boil,9,Pending,Food
kumara,sweet potato,7,Pending,Food
miere,honey,7,Pending,food
miraka,milk,2,Pending,food
miti,meat,1,Pending,food
panana,banana,3,Pending,food
parakuihi,breakfast,10,Pending,food
pata,butter,6,Pending,food
patiki,flounder (fish),2,Pending,food
paua,abalone,7,Pending,food
pea,pear,7,Pending,food
pekana,bacon,8,Pending,food
riwai,potato,2,Pending,food
tao,to cook,4,Pending,food
ti,tea,5,Pending,food
tote,salt,5,Pending,food
wai,water,2,Pending,food
wai,juice,3,Pending,food
haurua,half,2,Pending,Math / Number
hia,how many?,9,Pending,Math / Number
iwa,nine,6,Pending,Math / Number
kaute,to count,6,Pending,Math / Number
kauwhata,graph,3,Pending,Math / Number
kiromita,kilometre,7,Pending,Math / Number
kotahi,one,2,Pending,Math / Number
maha,many,5,Pending,Math / Number
mano,thousand,8,Pending,Math / Number
miriona,million,10,Pending,Math / Number
mita,metre,4,Pending,Math / Number
nama,number,2,Pending,Math / Number
ono,six,10,Pending,Math / Number
pae,circumference,8,Pending,Math / Number
pangarau,mathematics,6,Pending,Math / Number
rau,hundred,10,Pending,Math / Number
rima,five,5,Pending,Math / Number
rua,two,7,Pending,Math / Number
tekau,ten,5,Pending,Math / Number
toru,three,8,Pending,Math / Number
tuarua,second,8,Pending,Math / Number
tuatahi,first,4,Pending,Math / Number
tuatoru,third,9,Pending,Math / Number
tuawha,fourth,3,Pending,Math / Number
wha,four,5,Pending,Math / Number
ahi,fire,8,Pending,Outdoors
ana,cave,4,Pending,Outdoors
anga,shell,3,Pending,Outdoors
aorangi,planet,1,Pending,Outdoors
ara,path,4,Pending,Outdoors
auahi,smoke,1,Pending,Outdoors
awa,river,4,Pending,Outdoors
awatea,daylight,1,Pending,Outdoors
haerenga,journey,3,Pending,Outdoors
harakeke,flax,8,Pending,Outdoors
huka,ice,3,Pending,Outdoors
kapua,cloud,8,Pending,Outdoors
kirikiri,sand,2,Pending,Outdoors
kohanga,nest,5,Pending,Outdoors
kohatu,stone,3,Pending,Outdoors
makariri,cold,1,Pending,Outdoors
manga,stream,9,Pending,Outdoors
mara,garden,5,Pending,Outdoors
marangai,rain,10,Pending,Outdoors
maunga,mountain,1,Pending,Outdoors
moana,sea,7,Pending,Outdoors
motu,island,8,Pending,Outdoors
ngahere,forest,1,Pending,Outdoors
ngaru,wave,9,Pending,Outdoors
pohatu,stone,6,Pending,Outdoors
puke,hill,3,Pending,Outdoors
waiariki,hot spring,10,Pending,Outdoors
waka,canoe,8,Pending,Outdoors
ariki,leader,6,Pending,People
hapu,pregnant,2,Pending,People
hauora,healthy,9,Pending,People
hinengaro,intellect,2,Pending,People
hoa,friend,6,Pending,People
hoariri,enemy,7,Pending,People
hoia,soldier,1,Pending,People
ihu,nose,2,Pending,People
iwi,tribe,8,Pending,People
kaikorero,speaker,2,Pending,People
kaimahi,worker,3,Pending,People
kaiputaiao,scientist,7,Pending,People
kaituhi,author,4,Pending,People
kaiwhakahaere,manager,2,Pending,People
kaki,neck,2,Pending,People
kamo,eye,8,Pending,People
kanohi,face,7,Pending,People
kapene,captain,4,Pending,People
karani,grandmother,1,Pending,People
karere,messenger,4,Pending,People
karu,eye,9,Pending,People
kaumatua,elder,8,Pending,People
kawanatanga,government,1,Pending,People
kiri,skin,6,Pending,People
koka,aunt,3,Pending,People
kotiro,girl,8,Pending,People
kuini,queen,10,Pending,People
mahunga,head,1,Pending,People
mama,mother,8,Pending,People
mana,honour,4,Pending,People
manawa,heart,10,Pending,People
manuhiri,guest,6,Pending,People
mokopuna,grandchild,2,Pending,People
nanakia,rascal,6,Pending,People
niho,tooth,9,Pending,People
pani,orphan,10,Pending,People
pepi,baby,6,Pending,People
pirihimana,police officer,5,Pending,People
pukapuka,lungs,4,Pending,People
taitama,young man,5,Pending,People
takuta,doctor,5,Pending,People
tamahine,daughter,8,Pending,People
tamaiti,child,1,Pending,People
tamatane,boy,5,Pending,People
tane,man,7,Pending,People
tangata,people,6,Pending,People
taringa,ear,7,Pending,People
waewae,foot,2,Pending,people
waha,mouth,4,Pending,people
akau,coast,9,Pending,Places
manga,branch,10,Pending,plants
patiti,grass,9,Pending,plants
putiputi,flower,8,Pending,plants
rau,leaf,5,Pending,plants
ti,cabbage tree,4,Pending,plants
akonga,student,6,Pending,School
hangarau,technology,4,Pending,school
kaiako,teacher,6,Pending,school
kareti,college,3,Pending,school
kura,school,8,Pending,school
matauranga,education,8,Pending,school
mohiotanga,knowledge,1,Pending,school
putaiao,science,10,Pending,school
tari,study,3,Pending,school
tauira,student,3,Pending,school
hakinakina,sport,5,Pending,sport
kaitakaro,player,6,Pending,Sport
hiko,electricity,9,Pending,technology
irirangi ,radio,2,Pending,technology
mihini,machine,2,Pending,technology
pahi,bus,7,Pending,technology
poti,boat,2,Pending,technology
pouaka whakaata,television,10,Pending,technology
rererangi,airplane,6,Pending,technology
rongoa,medicine,7,Pending,technology
rorohiko,computer,3,Pending,technology
taraka,truck,1,Pending,technology
waea,telephone,1,Pending,technology
waka,car,1,Pending,technology
wira,wheel,4,Pending,technology
ahiahi,afternoon,3,Pending,Time
akuanei,soon,6,Pending,Time
apopo,tomorrow,7,Pending,Time
haora,hour,9,Pending,Time
huritau,birthday,4,Pending,Time
karaka,clock,1,Pending,Time
marama,month,5,Pending,Time
meneti,minute,3,Pending,Time
po,night,5,Pending,Time
ra,day,8,Pending,Time
ra,sun,2,Pending,Time
roanga,length of time,3,Pending,Time
wiki,week,7,Pending,Time
